exec_id,capability_scores,strategic_thinking,results_delivery,change_leadership,people_leadership,collaboration,competency_building,360_comments
SS014,"{'strategic_thinking': 4.1, 'results_delivery': 4.0, 'change_leadership': 4.2, 'people_leadership': 4.3, 'collaboration': 4.0, 'competency_building': 3.8}",4.1,4.0,4.2,4.3,4.0,3.8,Exceptional team empowerer; execution pace could accelerate.
SS015,"{'strategic_thinking': 3.8, 'results_delivery': 3.8, 'change_leadership': 3.9, 'people_leadership': 4.5, 'collaboration': 4.2, 'competency_building': 4.0}",3.8,3.8,3.9,4.5,4.2,4.0,Team alchemy maestro; strategic bandwidth expansion.
SS016,"{'strategic_thinking': 4.0, 'results_delivery': 4.0, 'change_leadership': 4.0, 'people_leadership': 4.0, 'collaboration': 4.0, 'competency_building': 4.0}",4.0,4.0,4.0,4.0,4.0,4.0,Execution reliability personified; leadership gravitas growing.
SS017,"{'strategic_thinking': 4.1, 'results_delivery': 3.9, 'change_leadership': 4.1, 'people_leadership': 4.1, 'collaboration': 3.9, 'competency_building': 4.1}",4.1,3.9,4.1,4.1,3.9,4.1,Institutional redesigner; tactical precision refining.
SS018,"{'strategic_thinking': 3.9, 'results_delivery': 4.1, 'change_leadership': 3.9, 'people_leadership': 4.0, 'collaboration': 4.1, 'competency_building': 3.9}",3.9,4.1,3.9,4.0,4.1,3.9,Capability constellation builder; collaborative alchemy.
SS019,"{'strategic_thinking': 4.2, 'results_delivery': 4.0, 'change_leadership': 4.0, 'people_leadership': 3.9, 'collaboration': 4.0, 'competency_building': 4.2}",4.2,4.0,4.0,3.9,4.0,4.2,Strategic foresight pioneer; empowerment mastery.
SS020,"{'strategic_thinking': 3.8, 'results_delivery': 4.2, 'change_leadership': 4.1, 'people_leadership': 4.1, 'collaboration': 3.8, 'competency_building': 3.9}",3.8,4.2,4.1,4.1,3.8,3.9,Strategic intellect; collaboration networks expanding.
SS021,"{'strategic_thinking': 3.2, 'results_delivery': 3.5, 'change_leadership': 3.4, 'people_leadership': 3.0, 'collaboration': 3.2, 'competency_building': 3.3}",3.2,3.5,3.4,3.0,3.2,3.3,Innovation catalyst; stakeholder orchestration maturing.
SS022,"{'strategic_thinking': 3.6, 'results_delivery': 3.7, 'change_leadership': 3.5, 'people_leadership': 3.8, 'collaboration': 3.6, 'competency_building': 3.5}",3.6,3.7,3.5,3.8,3.6,3.5,Talent incubator; strategic aperture widening.
SS023,"{'strategic_thinking': 3.4, 'results_delivery': 3.6, 'change_leadership': 3.3, 'people_leadership': 3.5, 'collaboration': 3.4, 'competency_building': 3.4}",3.4,3.6,3.3,3.5,3.4,3.4,Matrix influencer; execution cadence strengthening.
SS024,"{'strategic_thinking': 3.7, 'results_delivery': 3.8, 'change_leadership': 3.6, 'people_leadership': 3.9, 'collaboration': 3.7, 'competency_building': 3.6}",3.7,3.8,3.6,3.9,3.7,3.6,Premier collaborator needing strategic depth.
SS025,"{'strategic_thinking': 3.3, 'results_delivery': 3.4, 'change_leadership': 3.2, 'people_leadership': 3.6, 'collaboration': 3.3, 'competency_building': 3.4}",3.3,3.4,3.2,3.6,3.3,3.4,Organizational transformer; people leadership maturing.
